,,Department,,Customer Review
,,road presence,,the best road king you can get in the market right now.
,,road presence,,i must say tata harrier has absolutely best road presence.
,,road presence,,"tata harrier is the best car from tata, best road presence, this car can beatcreta, compass, mg hector."
,,road presence,,real off-road car with premium looks.
,,road presence,,"i bought this car last year still i love to drive this car anywhere and anytime its very smooth to drive and very spacious.it has very tough engine and off road car.i took my car to hilly areas because i belong to uttrakhand, twice or thrice in a year.i"
,,road presence,,jeep compass  is best off roading car jeep compass servicing is good this car is give me
,,road presence,,"hyundai creta is the best off-roading car in this budget range, i really like this car."
,,road presence,,most would say endeavour looks better and has better road presence.
,,road presence,,"an excellent car to drive, super stability and road presence."
,,road presence,,the road presence is simply amazing.
,,road presence,,the road presence is simply amazing.
,,road presence,,creta as a whole is a perfect car and it has good road presence anddynamic
,,road presence,,nice handling and very good road presence.
,,road presence,,"has great road presence. 
"
,,road presence,,it has a lot of road presence and looks massive and quite impressive for sure.
,,road presence,,its road presence is awesome and the interior is very good even though it lags behind alturas in some of the features
,,road presence,,the road presence is amazing.
,,road presence,,"due toitsbig size and theheavyweight, you feel a certain disbalance in the vehicle while driving.indeed,the vehicle is powerful butisn'tpowerful enough acceleration is moderate.fortunerhas always been about road presence."
,,road presence,,it has a very imposing road presence.
,,road presence,,"some general observations: vehicle has got nice road presence, handling is easy."
,,road presence,,"the road presence is amazing and dominates every other car in this segment.

"
,,road presence,,", it has immense road presence, absolutely droolworthy in orange shade especially the rear black strip which seems to be handled very well."
,,road presence,,"because this one definitely has an amazing road presence & tata has been successful in creating a lot of buzz about this car in the last few months. 
"
,,road presence,,"almost everyone on the road turned head to take another glimpse of the car, great road presence for sure. 
"
,,road presence,,and they sure have road presence.
,,road presence,,"the tata harrier is definitely the package of features, equipment, new-age design, best build quality, performance & the great road presence, but however is worth a wait for those looking to purchase a diesel automatic transmission sourced from hyundai and enthusiasts looking for a more punchy 170bhp for power."
,,road presence,,"the hexa has an at and 4×4 option, 2 extra seats and choice of captain seats in the middle (can you imagine how claustrophobic the upcoming 7 seater harrier will be?), sorted niggles, usable orvms while retaining the harriers plus points such as decent road presence, good driveability (if not better), awesome music system, spacious cabin, ground clearance, etc."
,,road presence,,i must say tata harrier has absolutely best road presence.
,,road presence,,harrier has excellent road presence the vehicle sits beautifully at top speeds.
,,road presence,,striking design with a great road presence.
,,road presence,,"the car is good but tata should have worked on the engine of the car as there is bat much pickup in the car in the second gear, but keeping it aside it is a lovely car, and if you are fond of big cars and want to have a good road presence then it is the best car at this price point."
,,road presence,,"wonderful in its road presence,"
,,road presence,,what you'll like:stunning looks & a strong road presence.
,,road presence,,good road presence.
,,road presence,,"nm torque on this car would have been perfect  
braking was confidence inspiring and the overall feel good factor and road presence when you are in this car is something the seltos could never offer for me."
,,road presence,,the hector in red sure does have road presence.
,,road presence,,"saw it in flesh.. huge road presence.. ! 
"
,,road presence,,good road presence and amazing built quality.
,,road presence,,other than these it comes with * sportive looks *great road presence *better ride quality *tough built quality *spacious and comfortable rich cabin( in its segment and at that price point )
,,road presence,,"tata harrier is the best car from tata, best road presence, this car can beatcreta, compass, mg hector."
,,road presence,,"the tata harrier is definitely the package of features, equipment, new-age design, best build quality, performance & the great road presence, but however is worth a wait for those looking to purchase a diesel automatictransmission sourced from hyundai and enthusiasts looking for a more punchy 170bhp for power."
,,road presence,,"hector is actually a good product.has some good list of features, tried and tested diesel engine and most importantly has a tempting road presence which every indian car buyer always wants... plus the mg motors ad campaign and promotion was spot on."
,,road presence,,harrier is superbly built and the road presence is unbeatable.
,,road presence,,"best part is that it won’t feel underpowered anywhere. except that ugly orange, grey and gold harrier looks just like range rovers and have undeniable road presence."
,,road presence,,road presence of the car is fabulous...
,,road presence,,"aged so well, with fantastic road presence still, just adequate proportions accommodating 7 seats and all the bells and whistles, i doubt any other mid-sized suv can beat xuv5oo."
,,road presence,,mg hector - front grill helps this car to get an amazing road presence.
,,road presence,,its road presence is too good and it has good safety standards.
,,road presence,,"slightly better equipped than my current 2015 model fortuner
tried and tested, predictable total cost of ownership
good resale
road presence
proper 7 seater not positives:
under equipped for the price
road presence 
it is a fortuner  
2) 5 seater suv creta/compass/seltos/hector
"
,,road presence,,a strong road presence and classy interiors are certainly the best compared to jeep compass and harrier.
,,road presence,,poor quality and road presence.
,,road presence,,saw my first seltos on the road today (i know i'm very late) and i found it to have good enough road presence.
,,road presence,,endeavour is better in road presence  ....
,,road presence,,the seltos somehow doesn't really have the road presence that creta has.
,,road presence,,the creta looked much bigger and had a better road presence imo.
,,road presence,,"i see many posts like this related to road presence.
"
,,road presence,,"so, anyone who wants road presence or second glances from people around should look elsewhere."
,,road presence,,"the hector, harrier and xuv500 are full one size bigger vehicles which will have more road presence."
,,road presence,,it looks smaller than creta and in my honest opinion has very less road presence.
,,road presence,,20 lacs for this vehicle is absurd if we go by sheer road presence.
,,road presence,,"the harrier i feel would still have a play in terms of size, road presence and good interiors."
,,road presence,,it has very weak road presence compared to even a creta.
,,road presence,,"however i was a big fan of xuvs road presence, space and amazing torque/power. 
"
,,road presence,,"and i found the hector to be a great overall package, with a great engine (same as compass) and excellent interior space and good road presence."
,,road presence,,"my family is not much keen on seltos due to the its size, internal space and road presence."
,,road presence,,"provided it is priced around or a bit lower than creta, for that price range it offers lots of bells and whistles, though as many pointed out it does not offer a commanding road presence."
,,road presence,,i'm looking for a car that doesn't have much of road presence.
,,road presence,,i'm looking for a car that doesn't have much of road presence.
,,road presence,,i like the car to be nicely designed but don't care if it doesn't have 'road presence' or more importantly the 'butch looks'.
,,road presence,,people prefer tall suvs (one of the complaint against the seltos is that it is not tall enough) for the 'road presence' but they will be fine with the compromised dynamics and a potentially unstable vehicle.
,,road presence,,"can't agree more! though they are giving all gimmicky features, in the end, indian customer mindset is more inclined towards road presence and price he paid for it!"
,,road presence,,"even the tuscon has hardly any road presence or character if you ask me. which begs the obvious question that i have: what is the justification for the seltos in the 15-20 lakh range when the creta/hector/harrier/xuv/hexa all offer more in terms of engines/space or features in one way or the other? 
the 1.4l petrol with dct is the only one that i would bother with but even that at ~ 18-20lakhs will need a lot of convincing to get. 
"
,,road presence,,"car looks gorgeous and has road presence. 
"
,,road presence,,"well, it's got good road presence."
,,road presence,,road presence is good and looks are quite modern.
,,road presence,,the word 'badass' indicates towards kia seltos that it has great big looking stunning design in a compact form and it has a great road presence which feels badass to be owned.
,,road presence,,super drive quality and awesome road presence.
,,road presence,,has a very good road presence looks even better than many cars on the road and seltos will make you feel like the boss of the road.
,,road presence,,"riding comfort and riding feel is good, but poor mileage, exterior and interior is very good, road presence is very good, service cost is expensive, bad experience in bad roads, interior plastic quality is not good."
,,road presence,,the main pros of xuv is the looks and the road presence
,,road presence,,"i brought xuv500 w11(0) in november 2018 owning a car like xuv500, it's just amazing its road presence"
,,road presence,,"in a market like ours they are able to do this because the consumer has still not fully evolved and prizes automobile real estate and size and 'road presence' more than most other things.  
"
,,road presence,,"more space, much better road presence ( compass wasn't a car that had a lot of road presence actually ) and with some off-road tires and the massive raptor grill thrown in, will blow anything else out of the water.
and the diesel at combo which will make its debut in the trailhawk, will surely push it past 30-32 lacs, and that will be the final nail in the coffin."
,,road presence,,the kind of road presence or feel large vehicles have to offer makes a tough call picking up something smaller.
,,road presence,,"besides poor fuel efficiency no other complaints details about looks, performance etc: excellent road presence, good looks pros and cons: fuel economy"
,,road presence,,"overall, while the road presence is just about right for an suv, the design is a trifle garish for my taste. 
"
,,road presence,,good looking and excellent build qualityand road presence.
,,road presence,,"excellent suv fulfills all need of road presence, offroad capability and comfortable ride."
,,road presence,,"superb car last 10 years
good mileage
superb performance
superb interior
heavy space
on ride feel like audi drive
best car in our india
best for indian road
best fuel effeciancy
colour tone is very excellent"
,,road presence,,excellent car performance best and loook five star????average car best off roading best car family pack car other car 15 lakhs best car city and villages
,,build quality,,car quality is looking very good
,,build quality,,"solid build car, great styling"
,,build quality,,"in recent years tata motors has drastically increased in its car build quality, design, quality material to stand in competition with other major brand like hyundai, ford, wolkwogun etc."
,,build quality,,"good best car.its new generation car is safe, car build quality is so good l love, tata."
,,build quality,,"toyota car build up quality is also good , very fun to drive , as u know in toyota cars there is very low servicing & maintenance cost  "
,,build quality,,"in recent years tata motors has drastically increased in its car build quality, design, quality material to stand in competition with other major brand like hyundai, ford, wolkwogun etc."
,,build quality,,amazing car build with many features and amazing wheel size.
,,build quality,,"good best car.its new generation car is safe, car build quality is so good l love, tata."
,,build quality,,"awesome built quality, smooth clutch, feature rich are some of the things which hyundai has maintained till date in almost all of its cars and creta is the one among them."
,,build quality,,built quality is reasonable
,,build quality,,very good built quality.
,,build quality,,"price is little over for top end model
good ride quality 
built quality is awesome.
"
,,build quality,,"drive many suv's in this segment but no one can match its power, performence, & handling, also good built quality like a king walking in his kingdom, a mescular body & good ride quality"
,,build quality,,"talking about built quality, the plastics inside the cabin are of fantastic quality, they feel premium for the segment, and they will last for a very long time."
,,build quality,,"speed, average and built quality and interiors are good."
,,build quality,,"good built quality and good features on a decent price point, great drive experience, great transmission."
,,build quality,,built quality is good.
,,build quality,,harriers built quality is far better than hector and others as well
,,build quality,,the built quality is best and comparing other with hyundai and other upcoming products they don't justify with the safety built quality....tata always thinks for indian that's why they built heavy vehicle compared with other brands.....proud to be a part of tata cars....since 2000 when we first purchased indica..
,,build quality,,"the looks, the built quality is superb."
,,build quality,,tata built quality is amazing with safety features all functions available in this car.
,,build quality,,"one of the best-built quality provided by the tata, it has a huge space in the interiors for comfort and luxurious interiors, harrier is no doubt a premium suv with a lot of features and worth buying it."
,,build quality,,"the car is roomy and classy built quality, have land rover frame and jeep compass engine, but it shaky in little high speed, don't go gripping the road."
,,build quality,,feel it's good specius car feel like luxury car tata made car very good and built quality is so good just they buy jaguar compony
,,build quality,,the built quality is good and the interior is well equipped.
,,build quality,,fabulous built quality.
,,build quality,,built quality is really good and adds the interior design to it and the car has the potential to become the best car of 2019.
,,build quality,,"now, i am not sure about the built quality of the kia seltos, but i am betting on the brand."
,,build quality,,"powerful, stylish, feature loaded, andtough built quality."
,,build quality,,good road presence and amazing built quality.
,,build quality,,"amazing look and concept it's atata's bestcar ever driven looks are awesome, andmuscular better interiors.. breaking issue is not in it better built quality assurance of protection comfortable for family andfriendspace is enough,interiors feels the luxury of the beast.valve formoney."
,,build quality,,other than these it comes with * sportive looks *great road presence *better ride quality *tough built quality *spacious and comfortable rich cabin( in its segment and at that price point )
,,build quality,,itis the most beautiful car i have ever seen and have the best-built quality.
,,build quality,,launching the nice car in india market .built quality is very superb and lots of feature in car
,,build quality,,mg hector is a premium car with a great built quality.
,,build quality,,this car has amazing safety features and strong built quality.
,,build quality,,all in all seltos passes my built quality test fairly.
,,build quality,,their built quality and stability is way more than cars u have reviewed drive a polo or vento u will love it for sure
,,build quality,,"not really impressed with the built quality, exterior look flashy but not robust."
,,build quality,,the petrol variant with turbocharger is ultimate it gives a boom performance to the drive and the built quality is also good ..
,,build quality,,simply not super almost like breeza design n same built quality.
,,build quality,,looks are very good but the built quality is average.
,,build quality,,the built quality of the car is solid with a good pick up power.
,,build quality,,mahindra xuv500 has a very powerful engine but built quality not perfect also other parts like breaking system is very poor.
,,build quality,,"4) compass has higher ground clearance as well and with trailhawk around the corner the difference would increase only. 
safety and built quality wise both should be similar."
,,build quality,,"1) its built quality and exterior is good.
"
,,build quality,,built quality is very solid and a quick peppy engine.
,,build quality,,the built quality is nice.
,,build quality,,"never expected such a marvel from mahindra, they have rocked the market , value for money, excellent build quality, features and remarkable power ."
,,build quality,,"great build quality.
nice music system.
good acceleration and breaking.
for the price"
,,build quality,,build quality is also amazing......
,,build quality,,riding experience is atmost i have driven 15+kms in juzt 2 months pune to tirupati balaji and kolhapur telangana mumbai and many more locatins bit bat patches can say off-road too and highway driving was lesiure driving with cruze control its more fun to ride build quality performance everything is atmost just love the car.
,,build quality,,"performance is very well highly trustable in terms of engine and build quality  price is quite high as compared to other cars in this segment. 
"
,,build quality,,the build quality is nice.
,,build quality,,the build quality is nice.
,,build quality,,"i love thedesign and features provided in hyundai creta.you will get a great average,strong build quality, and great safety features."
,,build quality,,"best ever suv in this price the looks, the features, the build quality is awesome"
,,build quality,,"one of the best car ever seen .....this can lead to cool life.nice mileage, engine power, andstrong build quality."
,,build quality,,"otherwise i'd pick the harrier over it for its build quality (yes - latest xuv is quite flimsy) and overall ambience and simple classy layout. 
"
,,build quality,,i think this is a practical car where it offers 7airbags for safety and great build quality as we know toyota engines are the best in class with great reliability and have good resale value but misses some features like sunroof auto park assist which its rivals like endeavor offer.
,,build quality,,"handling, build quality, comfort is great in tatas car, but they work hard on engines"
,,build quality,,"the tata harrier is definitely the package of features, equipment, new-age design, best build quality, performance & the great road presence, but however is worth a wait for those looking to purchase a diesel automatic transmission sourced from hyundai and enthusiasts looking for a more punchy 170bhp for power."
,,build quality,,"both have superior build quality.

"
,,build quality,,"excellent build quality which offers better protection to occupants.
"
,,build quality,,"in recent years tata motors has drastically increased in its car build quality, design, quality material to stand in competition with other major brand like hyundai, ford, wolkwogun etc."
,,build quality,,"although a few build quality and finesse niggles are something to be expected in a tata vehicle (even the newer ones), i'm disheartened to learn that the harrier has so many, and they are so obviously evident! and the poor steering calibration is just inexcusable, since tata has never goofed up so bad in this department, before."
,,build quality,,"i bought a car last month xt variant over all tata is really doing a great job under budget, good build quality.i am here to say that i have taken and paid for the accessories like bumper chrome protector, boot chrome finish etc etc but when gthey handover the car to me the trunk mat was missing, they said they will get it in a week or so"
,,build quality,,"main reasona are 
- pathetic build quality
- below average service experience
- poor brand image
- long term reliability"
,,build quality,,"very good experience and tata has improved very much in terms of build quality, space and comfort, features and etc."
,,build quality,,"the following pros and cons of tata harrier as follows:

pros:
1. solid build quality and excellent sound quality with jbl speakers. 
"
,,build quality,,"the most striking part of the car is that it uses a land rover platform that leads it to an aggressive styling, good build quality."
,,build quality,,loved the seating and good build quality.
,,build quality,,the looks the build quality is superb the infotainment system is superb.
,,build quality,,excellent suv with top quality design and best build quality india.
,,build quality,,the main thing i like about the car is its build quality.
,,build quality,,superior build quality.
,,build quality,,ground clearance is good and solid build quality with nice material and leather work in the interior.
,,build quality,,"india's no 1 car with good features, great build quality and entainment."
,,build quality,,tata harrier is a super suv car because of its solid build quality.
,,build quality,,best build quality... awesome sound ... giant size ... best ever car by tata ...
,,build quality,,"amazing build quality and features, mydream car pickup and acceleration on the highway,"
,,build quality,,build quality is good.
,,build quality,,is the build quality of tata you can trust blindly on the car.maintenance of tata cars are also low and harrier gives a low cost maintenance service too.so kudos to tata motors for making a brilliant car like harrier !??
,,build quality,,"the build quality is  also so hard.......
by passing out of time,tata has made a lot of progress on it's service to make it more comfortable for customers.....
tata has put a lots of efforts to make this car and to make its service better than other car brands in india.........."
,,build quality,,"also, very powerful and strong build quality getting in this car."
,,build quality,,build quality of tata harrier is the best in the segment.
,,build quality,,great build quality.
,,build quality,,tataharrier is the safest car and price worth build quality is very good and the luxury class's an suv.
,,build quality,,"best suv for a person budgeting under 20 lakhs, amazing look and structure, great build quality, marvellous features ."
,,build quality,,"this segment is great and its build quality, luxurious, and the driving experience was awsome, i have claimed 19 kmpl from harrier because of its 3 driving modes eco, city and sport, the terrain response system is also wonderful i really love this vehicle."
,,build quality,,"the linear acceleration in also nice.theinterior is up to the mark in this segment and build quality is also good.overall,i am very happy with this car."
,,build quality,,"tata harrier has the best build quality, it is the best car and is very strong.it's like an army truck."
,,build quality,,excellent build quality and good interiors.
,,build quality,,its feels like a legacy car it having lots of features in it and build quality is also too good its totally looking like build in land rover platform.
,,build quality,,tata harrier is a very safe car because the tata build quality is very good.
,,build quality,,"tata harrier is an amazing car, nice interiors, great build quality, and amazing looks."
,,build quality,,the build quality is good.
,,build quality,,"super value car, super suspension, engine performance is thebest and build quality is super."
,,build quality,,very good to see such an awesome work by tata with a high build quality and very good at its performance both on the highway and off-road.
,,build quality,,"tata's strong build quality, harrier literally defines and differentiate with other rivals like creta, compass."
,,build quality,,"very good build quality, awesome muscular looks,,, special in white color variant...better gear box response particular price range..."
,,build quality,,best build quality ever.
,,build quality,,car is good looking and dashing with great build quality like a monster.
,,build quality,,"good best car.its new generation car is safe, car build quality is so good l love, tata."
,,build quality,,tata harrier is a nice is nice build quality in excellent comfort feature is also a good ride and handling quality is excellent.
,,build quality,,"tata harrier has very good build quality and worth for money, interior is superior and also fun to drive, especially in the sport model."
,,build quality,,"the tata harrier is definitely the package of features, equipment, new-age design, best build quality, performance & the great road presence, but however is worth a wait for those looking to purchase a diesel automatictransmission sourced from hyundai and enthusiasts looking for a more punchy 170bhp for power."
,,build quality,,the build quality was appalling when i sat in the international model(which was btw in mint condition supposedly)
,,build quality,,bro how is build quality and crash test? and how much is weight of car?
,,build quality,,i think this suv will have strong build quality like volkswagen or tata.
,,build quality,,"compass's build quality, driving dynamics, safety, stability etc are far more superior than hector and harrier...along with it you get a tag  jeep...which completely justify it's price..."
,,build quality,,"mg hector is the best car in his segment and its reviews are awesome it has excellent features and it has a cruise control, it is all the system which has been come in this price range and first of all it has 360 camera build quality of good build quality good seats and the most awesome thing"
,,build quality,,"my experience isamazing with mg hector.the car is very spacious from inside, the cabin and the build quality is also strong."
,,build quality,,hector has awesome build quality.
,,build quality,,this car is first10.4 inch (0.26 m)touchscreen car mast build quality is best andsafetyfeatures are also best to like6airbags.
,,build quality,,"what a car, audi and benz looks overpriced in front of hector, super build quality n best safety features."
,,build quality,,build quality is very high.
,,build quality,,".. it comes with plenty of feature.. rich in space and comfort and the skoda build quality adds up to the value..

"
,,build quality,,poor build quality.
,,build quality,,poor build quality.
,,build quality,,"build quality and interior is quite good, the ride is also quite good."
,,build quality,,"the build quality seemed okay,better than a maruti but slightly inferior to my previous gen jazz and not comparable to fiat/vw/skoda cars. 
"
,,build quality,,"it has solid build quality with tight and uniform shutlines/panelgaps. 
"
,,build quality,,"better build quality 
much better engines 
proven the test of time"
,,build quality,,"build quality, interior part quality, feature list and space is good. 
"
,,build quality,,"as i suspected, absolutely nothing wrong with build quality externally."
,,build quality,,"no, but such build quality will disappear soon as the focus is on weight-savings, and frankly i find that hyundai/kia have the best balance of weight-saving & tactility over any brand today."
,,build quality,,"build quality may not be elantra/tucson level, but perfectly matches with its current price."
,,build quality,,"comparing jeep compass sports plus model with the top end diesel seltos, for 1 l extra, we will get a bigger, better capable, more fun to drive car with bigger engine, better build quality and multi link rear suspension."
,,build quality,,"more space, excellent ride and build quality, and"
,,build quality,,"after seeing  so many posts about the build quality had to write some points from my judgment of the seltos’s built during my showroom visit and td. 
"
,,build quality,,no test drive average build quality unresponsive dealers confused variant list (can never have a perfect model)
,,build quality,,"frankly, i didn't really find any substantial difference in build quality.    "
,,build quality,,"not sure how to look at this should one be happy that performance will be better than the other 2 or worried about build quality.
"
,,build quality,,"inferior build quality compared to hector (if this is similar to hyundai then metallic color will scratch easily) 
i had booked both seltos and hector."
